model,revision_retained,deleted_revisions,num_deleted_revisions
OrdalieTech/Solon-embeddings-large-0.1,9f6465f6ea2f6d10c6294bc15d84edf87d47cdef,external,1
OrlikB/KartonBERT-USE-base-v1,1f59dd58fe57995c0e867d5e29f03763eae99645,external,1
OrlikB/st-polish-kartonberta-base-alpha-v1,5590a0e2d7bb43674e44d7076b3ff157f7d4a1cb,external,1
Salesforce/SFR-Embedding-2_R,91762139d94ed4371a9fa31db5551272e0b83818,external,1
Salesforce/SFR-Embedding-Mistral,938c560d1c236aa563b2dbdf084f28ab28bccb11,external,1
Snowflake/snowflake-arctic-embed-l,9a9e5834d2e89cdd8bb72b64111dde496e4fe78c,external,1
Snowflake/snowflake-arctic-embed-l-v2.0,edc2df7b6c25794b340229ca082e7c78782e6374,external,1
Snowflake/snowflake-arctic-embed-m,cc17beacbac32366782584c8752220405a0f3f40,external,1
Snowflake/snowflake-arctic-embed-m-long,89d0f6ab196eead40b90cb6f9fefec01a908d2d1,external,1
Snowflake/snowflake-arctic-embed-m-v1.5,97eab2e17fcb7ccb8bb94d6e547898fa1a6a0f47,"external, no_revision_available",2
Snowflake/snowflake-arctic-embed-m-v2.0,f2a7d59d80dfda5b1d14f096f3ce88bb6bf9ebdc,external,1
Snowflake/snowflake-arctic-embed-s,d3c1d2d433dd0fdc8e9ca01331a5f225639e798f,external,1
Snowflake/snowflake-arctic-embed-xs,742da4f66e1823b5b4dbe6c320a1375a1fd85f9e,external,1
WhereIsAI/UAE-Large-V1,369c368f70f16a613f19f5598d4f12d9f44235d4,external,1
aari1995/German_Semantic_STS_V2,22912542b0ec7a7ef369837e28ffe6352a27afc9,external,1
abhinand/MedEmbed-small-v0.1,40a5850d046cfdb56154e332b4d7099b63e8d50e,external,1
ai-forever/FRIDA,7292217af9a9e6dbf07048f76b434ad1e2aa8b76,external,1
ai-forever/ru-en-RoSBERTa,89fb1651989adbb1cfcfdedafd7d102951ad0555,external,1
ai-sage/Giga-Embeddings-instruct,0ad5b29bfecd806cecc9d66b927d828a736594dc,40b27667b9ad586d7812675df76e5062ccc80b0e,1
avsolatorio/GIST-Embedding-v0,bf6b2e55e92f510a570ad4d7d2da2ec8cd22590c,external,1
avsolatorio/GIST-all-MiniLM-L6-v2,ea89dfad053bba14677bb784a4269898abbdce44,external,1
avsolatorio/GIST-large-Embedding-v0,7831200e2f7819b994490c091cf3258a2b821f0c,external,1
avsolatorio/GIST-small-Embedding-v0,d6c4190f9e01b9994dc7cac99cf2f2b85cfb57bc,external,1
avsolatorio/NoInstruct-small-Embedding-v0,b38747000553d8268915c95a55fc87e707c9aadd,external,1
bigscience/sgpt-bloom-7b1-msmarco,dc579f3d2d5a0795eba2049e16c3e36c74007ad3,external,1
brahmairesearch/slx-v0.1,688c83fd1a7f34b25575a2bc26cfd87c11b4ce71,external,1
consciousAI/cai-lunaris-text-embeddings,8332c464d13505968ff7a6e2213f36fd8730b4c7,external,1
deepfile/embedder-100p,aa02f08f11517977fbcdc94dc9dbf9a1ca152d9b,"external, no_revision_available",2
dunzhang/stella-large-zh-v3-1792d,d5d39eb8cd11c80a63df53314e59997074469f09,external,1
dunzhang/stella-mrl-large-zh-v3.5-1792d,17bb1c32a93a8fc5f6fc9e91d5ea86da99983cfe,external,1
dwzhu/e5-base-4k,1b5664b8cb2bccd8c309429b7bfe5864402e8fbc,"external, no_revision_available",2
google/embeddinggemma-300m,64614b0b8b64f0c6c1e52b07e4e9a4e8fe4d2da2,57c266a740f537b4dc058e1b0cda161fd15afa75,1
google/text-embedding-004,1,no_revision_available,1
google/text-embedding-005,1,external,1
iampanda/zpoint_large_embedding_zh,b1075144f440ab4409c05622c1179130ebd57d03,external,1
ibm-granite/granite-embedding-107m-multilingual,47db56afe692f731540413c67dd818ff492277e7,external,1
ibm-granite/granite-embedding-125m-english,e48d3a5b47eaa18e3fe07d4676e187fd80f32730,external,1
ibm-granite/granite-embedding-278m-multilingual,84e3546b88b0cb69f8078608a1df558020bcbf1f,external,1
ibm-granite/granite-embedding-30m-english,eddbb57470f896b5f8e2bfcb823d8f0e2d2024a5,external,1
infgrad/stella-base-en-v2,c9e80ff9892d80b39dc54e30a7873f91ea161034,external,1
infgrad/stella-base-zh-v3-1792d,82254892a0fba125aa2abf3a4800d2dd12821343,external,1
intfloat/e5-base,b533fe4636f4a2507c08ddab40644d20b0006d6a,"external, no_revision_available",2
intfloat/e5-base-v2,1c644c92ad3ba1efdad3f1451a637716616a20e8,"external, no_revision_available",2
intfloat/e5-large,4dc6d853a804b9c8886ede6dda8a073b7dc08a81,"external, no_revision_available",2
intfloat/e5-large-v2,b322e09026e4ea05f42beadf4d661fb4e101d311,"external, no_revision_available",2
intfloat/e5-mistral-7b-instruct,07163b72af1488142a360786df853f237b1a3ca1,"external, no_revision_available",2
intfloat/e5-small,e272f3049e853b47cb5ca3952268c6662abda68f,"external, no_revision_available",2
intfloat/e5-small-v2,dca8b1a9dae0d4575df2bf423a5edb485a431236,external,1
intfloat/multilingual-e5-base,d13f1b27baf31030b7fd040960d60d909913633f,"835193815a3936a24a0ee7dc9e3d48c1fbb19c55, external, no_revision_available",3
intfloat/multilingual-e5-large,"0dc5580a448e4284468b8909bae50fa925907bc5, 4dc6d853a804b9c8886ede6dda8a073b7dc08a81, ab10c1a7f42e74530fe7ae5be82e6d4f11a719eb","0dc5580a448e4284468b8909bae50fa925907bc5, 4dc6d853a804b9c8886ede6dda8a073b7dc08a81, external, no_revision_available",4
intfloat/multilingual-e5-large-instruct,baa7be480a7de1539afce709c8f13f833a510e0a,external,1
intfloat/multilingual-e5-small,"e4ce9877abf3edfe10b0d82785e83bdcb973e22e, fd1525a9fd15316a2d503bf26ab031a61d056e98","0a68dcd3dad5b4962a78daa930087728292b241d, c007d7ef6fd86656326059b28395a7a03a7c5846, e4ce9877abf3edfe10b0d82785e83bdcb973e22e, external, no_revision_available",5
izhx/udever-bloom-1b1,7bf1ee29878cb040b2708a691aa4b61f27eaa252,"external, no_revision_available",2
izhx/udever-bloom-3b,4edd8affe80ca89ba0f6b6ba4103fc7f25fc57b2,external,1
izhx/udever-bloom-560m,b2a723e355946ec5a5c5fbed3459766627ded2bb,"external, no_revision_available",2
izhx/udever-bloom-7b1,18e8d3e6dbd94868584877f2e72a105a17df22ef,external,1
jhu-clsp/FollowIR-7B,N/A,"external, no_revision_available",2
jinaai/jina-embedding-b-en-v1,"32aa658e5ceb90793454d22a57d8e3a14e699516, aa0645035294a8c0607ce5bb700aba982cdff32c","aa0645035294a8c0607ce5bb700aba982cdff32c, external",2
jinaai/jina-embedding-s-en-v1,"5ac6cd473e2324c6d5f9e558a6a9f65abb57143e, c1fed70aa4823a640f1a7150a276e4d3b08dce08","c1fed70aa4823a640f1a7150a276e4d3b08dce08, external",2
jinaai/jina-embeddings-v2-base-en,6e85f575bc273f1fd840a658067d0157933c83f0,"external, no_revision_available",2
jinaai/jina-embeddings-v2-small-en,"44e7d1d6caec8c883c2d4b207588504d519788d0, 796cff318cdd4e5fbe8b7303a1ef8cbec36996ef","796cff318cdd4e5fbe8b7303a1ef8cbec36996ef, external",2
jinaai/jina-embeddings-v3,215a6e121fa0183376388ac6b1ae230326bfeaed,external,1
jinaai/jina-embeddings-v4,4a58ca57710c49f51896e4bc820e202fbf64904b,26239889730c735ed7e9a4db9180c8935faf4ba0,1
malenia1/ternary-weight-embedding,a1208fb7f646647bb62639fd2e1eb6cc2ef3738e,external,1
manu/bge-m3-custom-fr,ed3ef88678ba83ddf4c0fab71a93cb90d89a9078,external,1
manu/sentence_croissant_alpha_v0.2,4610b8cea65d7dd59e0b04af50753933fe5b29b2,external,1
manu/sentence_croissant_alpha_v0.3,4ac16754f3d81aba76cc32955dc9ee4122df96eb,external,1
manu/sentence_croissant_alpha_v0.4,0ce6372e6a3c21134dcf26dcde13cca869c767fc,external,1
minishlab/M2V_base_glove,38ebd7f10f71e67fa8db898290f92b82e9cfff2b,external,1
minishlab/M2V_base_glove_subword,5f4f5ca159b7321a8b39739bba0794fa0debddf4,external,1
minishlab/M2V_base_output,02460ae401a22b09d2c6652e23371398329551e2,external,1
minishlab/potion-base-2M,86db093558fbced2072b929eb1690bce5272bd4b,external,1
minishlab/potion-base-4M,81b1802ada41afcd0987a37dc15e569c9fa76f04,external,1
minishlab/potion-base-8M,dcbec7aa2d52fc76754ac6291803feedd8c619ce,external,1
minishlab/potion-multilingual-128M,38ebd7f10f71e67fa8db898290f92b82e9cfff2a,a28f4eebecd4dc585034f605e52d414878a0417c,1
mixedbread-ai/mxbai-embed-large-v1,990580e27d329c7408b3741ecff85876e128e203,external,1
moka-ai/m3e-base,764b537a0e50e5c7d64db883f2d2e051cbe3c64c,no_revision_available,1
moka-ai/m3e-large,12900375086c37ba5d83d1e417b21dc7d1d1f388,no_revision_available,1
nomic-ai/nomic-embed-text-v1,0759316f275aa0cb93a5b830973843ca66babcf5,"external, no_revision_available",2
nomic-ai/nomic-embed-text-v1-ablated,7d948905c5d5d3874fa55a925d68e49dbf411e5f,external,1
nomic-ai/nomic-embed-text-v1-unsupervised,b53d557b15ae63852847c222d336c1609eced93c,external,1
nomic-ai/nomic-embed-text-v1.5,b0753ae76394dd36bcfb912a46018088bca48be0,external,1
nvidia/NV-Embed-v1,570834afd5fef5bf3a3c2311a2b6e0a66f6f4f2c,external,1
nvidia/NV-Embed-v2,7604d305b621f14095a1aa23d351674c2859553a,external,1
openai/text-embedding-3-large,"1, 3","1, 2",2
openai/text-embedding-3-small,"1, 3","1, 2",2
sdadas/mmlw-e5-base,f10628ed55b5ec400502aff439bd714a6da0af30,external,1
sdadas/mmlw-e5-large,5c143fb045ebed664fd85b43fc45155999eb110f,external,1
sdadas/mmlw-e5-small,ff1298cb6d997f18b794d2f3d73cad2ba2ad739a,external,1
sdadas/mmlw-roberta-base,0ac7f23f6c96af601fa6a17852bd08d5136d6365,external,1
sdadas/mmlw-roberta-large,b8058066a8de32d0737b3cd82d8b4f4108745af9,external,1
sensenova/piccolo-base-zh,47c0a63b8f667c3482e05b2fd45577bb19252196,external,1
sentence-transformers/LaBSE,e34fab64a3011d2176c99545a93d5cbddc9a91b7,no_revision_available,1
sentence-transformers/all-MiniLM-L12-v2,"364dd28d28dcd3359b537f3cf1f5348ba679da62, a05860a77cef7b37e0048a7864658139bc18a854","a05860a77cef7b37e0048a7864658139bc18a854, no_revision_available",2
sentence-transformers/all-MiniLM-L6-v2,8b3219a92973c328a8e22fadcfa821b5dc75636a,no_revision_available,1
sentence-transformers/all-mpnet-base-v2,"84f2bcc00d77236f9e89c8a360a00fb1139bf47d, 9a3225965996d404b775526de6dbfe85d3368642","84f2bcc00d77236f9e89c8a360a00fb1139bf47d, no_revision_available",2
sentence-transformers/gtr-t5-large,a2c8ac47f998531948d4cbe32a0b577a7037a5e3,no_revision_available,1
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,b207367332321f8e44f96e224ef15bc607f4dbf0,no_revision_available,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,bf3bf13ab40c3157080a7ab344c831b9ad18b5eb,no_revision_available,1
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,79f2382ceacceacdf38563d7c5d16b9ff8d725d6,no_revision_available,1
sentence-transformers/sentence-t5-base,50c53e206f8b01c9621484a3c0aafce4e55efebf,no_revision_available,1
sentence-transformers/sentence-t5-large,1fc08ea477205aa54a3e5b13f0971ae16b86410a,no_revision_available,1
sergeyzh/rubert-tiny-turbo,8ce0cf757446ce9bb2d5f5a4ac8103c7a1049054,external,1
shibing624/text2vec-base-chinese,183bb99aa7af74355fb58d16edf8c13ae7c5433e,no_revision_available,1
shibing624/text2vec-base-multilingual,6633dc49e554de7105458f8f2e96445c6598e9d1,"external, no_revision_available",2
silma-ai/silma-embeddding-matryoshka-v0.1,a520977a9542ebdb8a7206df6b7ff6977f1886ea,external,1
tencent/Youtu-Embedding,32e04afc24817c187a8422e7bdbb493b19796d47,1,1
thenlper/gte-base,c078288308d8dee004ab72c6191778064285ec0c,external,1
thenlper/gte-base-zh,71ab7947d6fac5b64aa299e6e40e6c2b2e85976c,external,1
thenlper/gte-large,4bef63f39fcc5e2d6b0aae83089f307af4970164,external,1
thenlper/gte-large-zh,64c364e579de308104a9b2c170ca009502f4f545,external,1
thenlper/gte-small,17e1f347d17fe144873b1201da91788898c639cd,external,1
thenlper/gte-small-zh,af7bd46fbb00b3a6963c8dd7f1786ddfbfbe973a,external,1
voyageai/voyage-2,1,no_revision_available,1
voyageai/voyage-3-m-exp,1,external,1
voyageai/voyage-code-2,1,no_revision_available,1
voyageai/voyage-code-3,1,external,1
voyageai/voyage-large-2-instruct,1,no_revision_available,1
voyageai/voyage-law-2,1,no_revision_available,1
voyageai/voyage-multilingual-2,1,no_revision_available,1
w601sxs/b1ade-embed,3bdac13927fdc888b903db93b2ffdbd90b295a69,external,1
