model,revisions
openai/text-similarity-davinci-001,['no_revision_available']
twadada/lma3-correct,['external']
Muennighoff/SGPT-5.8B-weightedmean-nli-bitfit,"['no_revision_available', 'external']"
zhilinw6/gmodel,['external']
Lajavaness/bilingual-document-embedding,['external']
facebook/contriever-instruct,['2bd46a25019aeea091fd42d1f0fd4801675cf699']
Cohere/Cohere-embed-english-v3.0-instruct,['no_revision_available']
princeton-nlp/sup-simcse-bert-base-uncased,['no_revision_available']
zeroshot/gte-large-quant,['external']
d0rj/e5-large-en-ru,['external']
andersonbcdefg/bge-small-4096,['external']
BAAI/bge-m3-instruct,['5617a9f61b028005a4858fdac845db406aefb181']
twadada/s2v-gcp,['external']
facebook/tart-full-flan-t5-xl,['no_revision_available']
lixsh6/XLM-0B6-embedding,['external']
GritLM/GritLM-7B-noinstruct,['13f00a0e36500c80ce12870ea513846a066004af']
shhy1995/AGE_Hybrid,['external']
hkunlp/instructor-base,"['no_revision_available', 'external']"
BAAI/bge-reranker-large,['external']
hsikchi/dump,['external']
voyageai/voyage-lite-01-instruct,['no_revision_available']
twadada/l3_wl,['external']
facebook/dragon-plus-context-encoder,['no_revision_available']
Geotrend/bert-base-10lang-cased,['no_revision_available']
Consensus/instructor-base,['external']
openai/text-similarity-ada-001,['no_revision_available']
zeroshot/gte-small-quant,['external']
DMetaSoul/Dmeta-embedding-zh,['external']
vectoriseai/e5-large-v2,['external']
ClayAtlas/winberta-base,['external']
deepset/gbert-base,['no_revision_available']
silk-road/luotuo-bert-medium,['no_revision_available']
jinaai/jina-embeddings-v2-base-de,['external']
sentence-transformers/average_word_embeddings_komninos,['no_revision_available']
vectoriseai/e5-base-v2,['external']
Geotrend/distilbert-base-25lang-cased,['no_revision_available']
zeroshot/gte-large-sparse,['external']
karsar/paraphrase-multilingual-MiniLM-L12-hu_v1,['external']
OrcaDB/gte-base-en-v1.5,['external']
Geotrend/bert-base-25lang-cased,['no_revision_available']
Muennighoff/SGPT-125M-weightedmean-msmarco-specb-bitfit-doc,['no_revision_available']
openai/text-search-davinci-001,['no_revision_available']
recipe/embeddings,['external']
twadada/fasttext,['external']
AbderrahmanSkiredj1/Arabic_text_embedding_for_sts,['external']
PaDaS-Lab/arctic-s-bge-small,['external']
Quark-LLM/quark-llm-embedding-8B,['external']
sthuck/gte-Qwen2-7B-instruct-bfloat16,['external']
openai/text-search-babbage-001,['no_revision_available']
tomaarsen/bge-small-en-v1.5-copy,['external']
zhonghhh/text_emb_V1,['external']
infgrad/stella-base-zh-v2,['external']
mistralai/mistral-7b-instruct-v0.2,['no_revision_available']
neuralmagic/bge-large-en-v1.5-sparse,['external']
elastic/elser-v2,['no_revision_available']
jamesgpt1/sf_model_e5,['external']
Erin/IYun-large-zh,['external']
Muennighoff/SGPT-2.7B-weightedmean-msmarco-specb-bitfit,"['no_revision_available', 'external']"
nickprock/stsbm-sentence-flare-it,['external']
neuralmagic/bge-large-en-v1.5-quant,['external']
TaylorAI/gte-tiny,['external']
t12e/instructor-base,['external']
lixsh6/MegatronBert-1B3-embedding,['external']
srikanthmalla/BAAI-bge-reranker-large,['external']
Hiveurban/multilingual-e5-large-pooled,['external']
billatsectorflow/stella_en_400M_v5,['external']
Geotrend/distilbert-base-en-fr-cased,['no_revision_available']
deepset/gelectra-base,['no_revision_available']
michaelfeil/ct2fast-bge-large-en-v1.5,['external']
towing/gte-small-zh,['external']
vectoriseai/e5-small-v2,['external']
bm25,['no_revision_available']
meta-llama/llama-2-7b-chat,['no_revision_available']
liddlefish/privacy_embedding_rag_10k_base_checkpoint_2,['external']
vectoriseai/bge-base-en-v1.5,['external']
liddlefish/privacy_embedding_rag_10k_base_final,['external']
beademiguelperez/sentence-transformers-multilingual-e5-small,['external']
Mihaiii/gte-micro-v3,['external']
BAAI/bge-large-zh-noinstruct,['no_revision_available']
pengql/checkpoint-9000,['external']
liddlefish/privacy_embedding_rag_10k_base_15_final,['external']
Maxthemacaque/onnx-gte-multilingual-base,['external']
PaDaS-Lab/arctic-m-bge-small,['external']
blevlabs/stella_en_v5,['external']
openai/text-embedding-3-small-instruct,['no_revision_available']
nvidia/NV-Retriever-v1,['external']
EdwardBurgin/paraphrase-multilingual-mpnet-base-v2,['external']
jinaai/jina-embeddings-v2-base-zh,['external']
RookieHX/bge_m3e_stella,['external']
BASF-AI/nomic-embed-text-v1,['external']
sentence-transformers/msmarco-bert-co-condensor,['no_revision_available']
thtang/ALL_862873,['external']
openai/text-embedding-ada-002-instruct,['no_revision_available']
omarelshehy/Arabic-STS-Matryoshka-V2,['external']
McGill-NLP/LLM2Vec-Meta-Llama-3-unsupervised,['no_revision_available']
facebookresearch/dragon-plus,['no_revision_available']
jncraton/e5-small-v2-ct2-int8,['external']
jburmeister/stella_en_400M_v5,['external']
mixamrepijey/instructor-small,['external']
jinaai/jina-clip-v2,['344d954da76eb8ad47a7aaff42d012e30c15b8fe']
srikanthmalla/hkunlp-instructor-xl,['external']
twadada/mpn-nopca,['external']
tomaarsen/bge-base-en-v1.5,['external']
openai/text-search-curie-001,['no_revision_available']
infgrad/stella-large-zh-v2,['external']
sdadas/st-polish-paraphrase-from-distilroberta,['no_revision_available']
fangxq/XYZ-embedding-zh,['external']
nickprock/mmarco-sentence-flare-it,['external']
maiyad/multilingual-e5-small,['external']
sionic-ai/sionic-ai-v2,['external']
BookingCare/multilingual-e5-base-similarity-v1-onnx-quantized,['external']
yco/bilingual-embedding-base,['external']
twadada/mv_sw,['external']
twadada/nmc-wordpca,['external']
mistral/mistral-embed,['no_revision_available']
jncraton/multilingual-e5-small-ct2-int8,['external']
Mihaiii/gte-micro-v2,['external']
michaelfeil/ct2fast-gte-base,['external']
aliakseilabanau/bge-small-en,['external']
vectoriseai/bge-small-en-v1.5,['external']
odunola/e5-base-v2,['external']
Muennighoff/SGPT-125M-weightedmean-nli-bitfit,"['no_revision_available', 'external']"
jonfd/electra-small-nordic,['no_revision_available']
CAiRE/UniVaR-lambda-5,['external']
twadada/nmc-pmpt_correct,['external']
twadada/nmc-nignore15,['external']
ahmet1338/finetuned_embedder,['external']
Intel/neural-embedding-v1,['external']
twadada/nmc-300-w50k-b30k,['external']
barisaydin/text2vec-base-multilingual,['external']
liddlefish/privacyembeddingv2_bge_small,['external']
twadada/ft-lower-pca,['external']
starsy/bge-en-icl,['external']
BAAI/bge-large-en-v1.5-instruct,['d4aa6901d3a41ba39fb536a557fa166f842b0e09']
twadada/nmc-nignore30,['external']
T-Systems-onsite/cross-en-de-roberta-sentence-transformer,['no_revision_available']
biggunnyso4/stella_en_400M_v5_cpu,['external']
McGill-NLP/LLM2Vec-Llama-2-unsupervised,['no_revision_available']
nomic-ai/nomic-embed-text-v1.5-128,['no_revision_available']
recobo/chemical-bert-uncased,['498698d28fcf7ce5954852a0444c864bdf232b64']
arcdev/SFR-Embedding-Mistral,['external']
twadada/lma3,['external']
sigridjineth/stella_en_1.5B_v5_sigrid,['external']
tanmaylaud/ret-phi2-v0,['external']
lightbird-ai/nomic,['external']
technicolor/Angle_BERT,['external']
sentence-transformers/static-retrieval-mrl-en-v1,['f60985c706f192d45d218078e49e5a8b6f15283a']
Mihaiii/test25,['external']
infgrad/stella-large-zh,['external']
twadada/nmc-cls,['external']
nthakur/mcontriever-base-msmarco,['no_revision_available']
arcdev/e5-mistral-7b-instruct,['external']
odunola/UAE-Large-VI,['external']
wongctroman/hktv-fine-tuned-cloudy-large-zh-metaphor14,['external']
google-bert/bert-base-multilingual-cased,['no_revision_available']
McGill-NLP/LLM2Vec-Sheared-Llama-unsupervised,['no_revision_available']
Severian/nomic,['external']
tsirif/BinGSE-Sheared-LLaMA,['external']
vectoriseai/multilingual-e5-large,['external']
Erin/mist-zh,['external']
michaelfeil/ct2fast-gte-large,['external']
twadada/lma-nopca,['external']
lixsh6/XLM-3B5-embedding,['external']
Marqo/dunzhang-stella_en_400M_v5,['external']
jncraton/bge-small-en-ct2-int8,['external']
TownsWu/PEG,['external']
corto-ai/bge-reranker-large-onnx,['external']
bigscience-data/sgpt-bloom-1b7-nli,"['no_revision_available', 'external']"
Mihaiii/test24,['external']
newsrx/instructor-large-newsrx,['external']
gizmo-ai/Cohere-embed-multilingual-v3.0,['external']
bchoiced/CHAIN19,['5ba01fcb4e90ede5e2772b8a9ca68c12515dc6af']
koble-ai/jina-embeddings-v3,['external']
liddlefish/privacy_embedding_rag_10k_base_12_final,['external']
billatsectorflow/stella_en_1.5B_v5,['external']
markaw/NV-Embed-v2,['external']
openbmb/MiniCPM-Embedding-Light,['external']
twadada/lma2,['external']
dangvantuan/sentence-camembert-base,['no_revision_available']
ipipan/herbert-base-retrieval-v2,['no_revision_available']
SkyeTeam/stella_en_400m,['external']
deepset/gelectra-large,['no_revision_available']
atian-chapters/Chapters-SFR-Embedding-Mistral,['external']
ieasybooks/multilingual-e5-large-onnx,['external']
vprelovac/universal-sentence-encoder-multilingual-large-3,"['no_revision_available', 'external']"
corto-ai/nomic-embed-text-v1,['external']
BAAI/bge-reranker-base,['external']
Geotrend/distilbert-base-en-fr-es-pt-it-cased,['no_revision_available']
khoa-klaytn/bge-small-en-v1.5-angle,['external']
aspire/acge_text_embedding,['external']
KBLab/electra-small-swedish-cased-discriminator,['no_revision_available']
AdrienB134/llm2vec-croissant-mntp,['external']
twadada/s2v,['external']
jncraton/GIST-small-Embedding-v0-ct2-int8,['external']
T3LS/stella-mrl-large-zh-v3.5-1792d-1024,['external']
fresha/e5-large-v2-endpoint,['external']
amazon/titan-embed-text-v1,['no_revision_available']
twadada/llm_mse,['external']
deepfile/multilingual-e5-small-onnx-qint8,['external']
michaelfeil/ct2fast-e5-small-v2,['external']
Muennighoff/SGPT-1.3B-weightedmean-msmarco-specb-bitfit,"['no_revision_available', 'external']"
McGill-NLP/LLM2Vec-Mistral-unsupervised,['no_revision_available']
twadada/ft-gcp,['external']
Einas/einas_ashkar,['external']
raghavlight/TDTE,['external']
ManiShankar-AlpesAi/paraphrase-multilingual-mpnet-base-v2-KE_Sieve,['external']
neuralmagic/bge-base-en-v1.5-sparse,['external']
ggrn/e5-small-v2,['external']
openai/text-similarity-curie-001,['no_revision_available']
sdadas/st-polish-paraphrase-from-mpnet,['no_revision_available']
twadada/nmc-prmt-and-emb-150k,['external']
ClayAtlas/windberta-large,['external']
vectoriseai/ember-v1,['external']
twadada/nmc-cls-nopca,['external']
google/Gemma-Embeddings-v1.0,['external']
linhphanff/stella_en_1.5B_v5_clone,['external']
PaDaS-Lab/arctic-l-bge-small,['external']
omarelshehy/arabic-english-sts-matryoshka-v2.0,['external']
raghavlight/SE_v1,['external']
twadada/tst,['external']
khoa-klaytn/bge-base-en-v1.5-angle,['external']
nickprock/mmarco-bert-base-italian-uncased,['external']
jncraton/stella-base-en-v2-ct2-int8,['external']
m3rg-iitd/matscibert,['ced9d8f5f208712c4a90f98a246fe32155b29995']
nomic-ai/nomic-embed-text-v1.5-256,['no_revision_available']
twadada/un-sim,['external']
twadada/komni,['external']
DecisionOptimizationSystem/DeepFeatEmbeddingLargeContext,['external']
Quark-LLM/quark-llm-embedding-1.5B,['external']
twadada/nmc-cls-100_correct,['external']
infgrad/stella-base-zh,['external']
TitanML/jina-v2-base-en-embed,['external']
Pristinenlp/alime-embedding-large-zh,['external']
nomic-ai/nomic-embed-text-v1.5-64,['no_revision_available']
rlsChapters/Chapters-SFR-Embedding-Mistral,['external']
tsirif/BinGSE-Meta-Llama-3-8B-Instruct,['external']
twadada/gte_wl,['external']
vprelovac/universal-sentence-encoder-multilingual-3,"['no_revision_available', 'external']"
ef-zulla/e5-multi-sml-torch,['external']
aliyun/OpenSearch-text-hybrid,['no_revision_available']
flaubert/flaubert_base_cased,['no_revision_available']
ltg/norbert3-base,['no_revision_available']
lsf1000/bge-evaluation,['external']
abhinand/MedEmbed-base-v0.1,['7a90c50263f620dff743eb9794b89a42bfc5d765']
karsar/gte-multilingual-base-hu,['external']
krilecy/e5-mistral-7b-instruct,['external']
mixamrepijey/instructor-models,['external']
vectoriseai/gte-base,['external']
baichuan-ai/text-embedding,['no_revision_available']
aiacademyvn/multilingual-e5-large-instruct,['external']
AbderrahmanSkiredj1/arabic_text_embedding_sts_arabertv02_arabicnlitriplet,['external']
michaelfeil/ct2fast-e5-large-v2,['external']
mgoin/all-MiniLM-L6-v2-ds,['external']
Marqo/multilingual-e5-small,['external']
sentence-transformers/all-MiniLM-L6-v2-instruct,['8b3219a92973c328a8e22fadcfa821b5dc75636a']
Jechto/e5-dansk-test-0.1,['external']
neuralmagic/bge-base-en-v1.5-quant,['external']
TaylorAI/bge-micro,['external']
openai/text-search-ada-doc-001,['no_revision_available']
nomic-ai/nomic-bert-2048,['40b98394640e630d5276807046089b233113aa87']
karsar/paraphrase-multilingual-MiniLM-L12-hu-v2,['external']
dhairya0907/thenlper-get-large,['external']
djovak/multi-qa-MiniLM-L6-cos-v1,['external']
dangvantuan/french-document-embedding,['external']
morgendigital/multilingual-e5-large-quantized,['external']
lightonai/modernbert-embed-large,['external']
ltg/norbert3-large,['no_revision_available']
leeloolee/intention,['external']
hkunlp/instructor-large,"['no_revision_available', 'external']"
openai/text-search-ada-001,['no_revision_available']
jinaai/jina-embeddings-v2-base-es,['external']
